"id","application_stage","application_stage_reason","sample_group","market_scope","company","title","city","category","degree","experience","employment_type","normalized_tech_stack","unmapped_tech_stack","tech_stack","requirements_summary","fit_note","source_type","source_url","posted_at","evidence_checked_at"
"J001","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·VLA/具身算法","中国大陆","上海人工智能实验室","移动操作算法工程师","上海","具身系统与真机部署","硕士及以上","要求移动机器人真机开发、部署或系统集成经验；年限未注明","全职","Python; C++; Linux/Ubuntu; ROS 生态; ROS 2; VLA 族; 模仿学习/IL; World Model; Diffusion/Flow Policy; SLAM/定位导航; 运动规划","","ROS/ROS2; C++; Python; Linux; VLA; Diffusion Policy; 模仿学习; World Model; SLAM; 运动规划","负责移动操作算法工程实现、数据采集—模型训练—真机部署Pipeline及跨软硬件联调；要求独立完成ROS/ROS2开发部署，并有移动机器人真机经验。","嵌入式Linux、通信链路、跨端联调和复杂故障定位可迁移到真机工程化；主要缺口是ROS2、机械臂/移动机器人真机、运动规划和VLA部署证据，完成LeRobot真机闭环后再重点投递。","官方招聘详情页","https://www.shlab.org.cn/joinus/detail/7659996225454950719?mode=social","2026-07-08","2026-07-31"
"J002","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·VLA/具身算法","中国大陆","上海人工智能实验室","具身智能算法工程师","上海","VLA/具身模型","硕士及以上","2年及以上","全职","Python; C++; ROS 生态; ROS 2; VLA 族; VLM/多模态模型; 强化学习/RL; RTOS/实时系统; 机器人仿真; Isaac; MuJoCo; 嵌入式/MCU/RTOS","MATLAB/Simulink","C++; Python; ROS/ROS2; MATLAB/Simulink; VLA; 强化学习; 多模态感知; RTOS; 嵌入式开发; Isaac Sim; MuJoCo","面向科学实验机器人研发VLA、强化学习与多模态感知算法并完成训练部署和真机性能优化；要求机器人真机、软硬件协同及实时/嵌入式能力。","RTOS、嵌入式开发和软硬件协同调试与现有经历高度相关，是算法岗位中较好的桥接目标；但需补齐ROS2、PyTorch/强化学习和至少一个可量化的机械臂真机项目。","官方招聘详情页","https://www.shlab.org.cn/joinus/detail/7617693362335025418?mode=social","2026-07-16","2026-07-31"
"J003","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·VLA/具身算法","中国大陆","上海人工智能实验室","机器人算法工程师","上海","强化学习与运动控制","硕士及以上，博士优先","要求至少将一种RL策略部署到真实腿足机器人；年限未注明","全职","Python; C++; Linux/Ubuntu; ROS 生态; ROS 2; 强化学习/RL; 运动控制; MPC; WBC; RTOS/实时系统; 机器人仿真; Isaac; MuJoCo","SampleFactory","C++; Python; Linux; ROS2; 强化学习; RLlib; Stable-Baselines3; SampleFactory; MuJoCo; Isaac Gym; MPC; WBC; Preempt-RT","研发人形/四足机器人全身强化学习控制，进行GPU并行训练、Sim-to-Real、1kHz实时部署并融合MPC/WBC；要求完整腿足机器人RL真机经验。","已有C、Linux和实时系统基础可迁移至岗位的C++要求，但现代C++仍需补证；该岗算法与学历门槛高，当前缺少动力学、RL框架、MuJoCo/Isaac及腿足真机部署，不宜作为第一阶段主投岗位。","官方招聘详情页","https://www.shlab.org.cn/joinus/detail/7651889731673000238?mode=social","2026-06-16","2026-07-31"
"J004","P1 作品/专项补证后","现有端边云、数据平台或 AI 应用经验可迁移，但需先补齐与岗位一致的机器人数据、ROS2 或 Agent 可复现作品。","国内·VLA/具身算法","中国大陆","上海人工智能实验室","具身智能系统工程师","上海","具身数据与系统框架","本科及以上","相关方向实习/工作经历优先；年限未注明","全职","Python; ROS 生态; 深度学习; PyTorch; VLM/多模态模型; CUDA/GPU; 机器人真机/系统集成; 数据采集","数据清洗与标注","Python; PyTorch; CUDA; ROS; 多模态数据; 数据采集Pipeline; 数据清洗与标注; 真机部署","建设具身操作框架、接口标准、数据采集处理闭环和真机部署链路；强调大规模多模态数据质量、Python/PyTorch工程能力以及CUDA/ROS系统优化。","系统架构、设备接入、数据链路、平台开发和工程交付与候选人优势最接近；需要用LeRobot数据管线、PyTorch训练、ROS2适配和真机评测项目补足机器人专属证据。","官方招聘详情页","https://www.shlab.org.cn/joinus/detail/7654035482623789375?mode=social","2026-06-22","2026-07-31"
"J005","条件过滤","页面包含在读、实习或校招条件，2022 届社会招聘候选人需先核验资格。","国内·VLA/具身算法","中国大陆","上海人工智能实验室","具身智能操作算法实习生","上海","VLA/世界模型实习","硕士及以上在读","未注明","实习","Python; 深度学习; PyTorch; VLM/多模态模型; 模仿学习/IL; World Model; 机器人真机/系统集成","策略学习; 序列建模; 移动操作; 灵巧手","Python; PyTorch; World Model; 多模态表征学习; 模仿学习; 策略学习; 序列建模; 移动操作; 灵巧手; 真机部署","研究双臂、灵巧手的世界模型与多模态策略，覆盖操作建模、训练调优、真机部署评测和多视角多模态数据体系；要求硕士及以上在读。","学习内容与目标项目高度一致，但在读学历条件可能构成硬门槛；可把其技术栈作为开源项目验收清单，而不是当前主要投递目标。","官方招聘详情页","https://www.shlab.org.cn/joinus/detail/7578761568268994859?keyword=%E5%85%B7%E8%BA%AB%E6%99%BA%E8%83%BD&location=CT_125&mode=campus","2026-07-03","2026-07-31"
"J006","P2 中长期","算法/研究能力门槛高于当前证据，应在 PyTorch、IL/RL、VLA 和真机评测完成后再评估。","国内·VLA/具身算法","中国大陆","上海人工智能实验室","人形机器人移动操作算法工程师","上海","VLA与人形机器人","博士或优秀硕士优先","要求真实机器人算法部署、数据采集或实验经验；年限未注明","全职","Python; C++; Linux/Ubuntu; ROS 生态; ROS 2; 深度学习; PyTorch; VLA 族; 强化学习/RL; 模仿学习/IL; Diffusion/Flow Policy; 机器人仿真; Isaac; MuJoCo; Sim-to-Real/仿真","WAM","Python; PyTorch; C++; Linux; ROS/ROS2; VLA; WAM; Diffusion Policy; 强化学习; 模仿学习; Isaac Lab/Gym; MuJoCo; Sim-to-Real","构建人形机器人System 0/1/2移动操作策略栈，覆盖强化学习运控、VLA/WAM操作、数据闭环和真机实时部署；要求至少两个相关算法方向的深入积累。","属于中长期冲刺岗位。现有系统工程能力可支撑数据与部署环节，但需显著补强机器人动力学、PyTorch、VLA/RL训练、仿真和真实机械臂/人形平台经验。","官方招聘详情页","https://www.shlab.org.cn/joinus/detail/7651886032015395122?mode=social","2026-06-16","2026-07-31"
"J007","P1 作品/专项补证后","现有端边云、数据平台或 AI 应用经验可迁移，但需先补齐与岗位一致的机器人数据、ROS2 或 Agent 可复现作品。","国内·VLA/具身算法","中国大陆","上海人工智能实验室","多智能体平台算法工程师","上海","Agentic AI与具身平台","未注明","要求Agent框架实际落地经验；年限未注明","全职","LLM/Agent","任务调度; 设备接入; 中间件; 具身系统","Agent编排; Multi-Agent; OpenClaw或同类Agentic工具链; 任务调度; 设备接入; 中间件; 具身系统","搭建物理智能平台底座与具身智能体框架，打通机器人、算法、数据、任务调度和设备接入；重视大型平台、中间件及Agentic工具链实战。","设备平台、通信、任务编排和AI Agent开发经历具有较强迁移价值，是候选人比纯VLA研究岗更现实的交叉方向；仍需用机器人设备接入和真实Agent编排案例证明能力。","官方招聘详情页","https://www.shlab.org.cn/joinus/detail/7659997654215264563?mode=social","2026-07-08","2026-07-31"
"J008","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·VLA/具身算法","中国大陆","上海人工智能实验室","机器人运控算法工程师","上海","机器人规划与控制","硕士及以上","要求机器人真机实验与控制方案落地经验；年限未注明","全职","Python; C++; C; 强化学习/RL; 运动规划; 运动控制; MPC; PID; 机器人真机/系统集成","PX4; 四足机器人","C/C++; Python; MPC; PID; 强化学习控制; 路径规划; PX4; 人形机器人; 四足机器人","面向轮式、四足、人形和无人机开发规划控制算法并做真机验证；要求掌握MPC、PID或RL控制中的至少一种及真实机器人实践。","已有C、嵌入式联调和设备控制经验可迁移至岗位的C++要求，但现代C++仍需补证；当前缺少控制理论深度、路径规划与机器人真机闭环，需通过机械臂控制和仿真实验建立可量化证据。","官方招聘详情页","https://www.shlab.org.cn/joinus/detail/7649605753204279590?mode=social","2026-06-10","2026-07-31"
"J009","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·VLA/具身算法","中国大陆","上海人工智能实验室","世界模型训练与真机部署研究员/工程师","上海","世界模型与VLA","硕士及以上","未注明","全职","Python; 深度学习; PyTorch; JAX; VLA 族; VLM/多模态模型; 强化学习/RL; 模仿学习/IL; World Model; Transformer; Diffusion/Flow Policy; 机器人真机/系统集成","","Python; PyTorch/JAX/TensorFlow; World Model; VLA/VLM; Transformer; Diffusion Model; Diffusion Policy; 模仿学习; 强化学习; 多模态学习; 真机部署","负责世界模型训练评估、多模态机器人数据闭环和真机推理部署，要求机器人学习、深度学习与VLA/扩散模型基础；真机、视觉/三维感知和C++集成为加分项。","数据闭环、C/Linux系统集成和硬件异常定位可迁移至岗位的C++工程要求，但现代C++仍需补证；核心仍是模型训练，需先完成可复现的ACT/SmolVLA训练、数据集卡和真机失败分析。","官方招聘详情页","https://www.shlab.org.cn/joinus/detail/7659334795419748658?mode=social","2026-07-06","2026-07-31"
"J010","条件过滤","页面包含在读、实习或校招条件，2022 届社会招聘候选人需先核验资格。","国内·VLA/具身算法","中国大陆","上海人工智能实验室","物理智能世界模型训练与真机部署实习生","上海","世界模型与VLA实习","本科高年级、硕士或博士在读","可长期实习者优先；年限未注明","实习","Python; C++; 深度学习; PyTorch; JAX; VLA 族; VLM/多模态模型; 强化学习/RL; 模仿学习/IL; World Model; Diffusion/Flow Policy; 机器人仿真; Isaac; MuJoCo","Open X-Embodiment","Python; PyTorch/JAX/TensorFlow; World Model; VLA/VLM; Diffusion Policy; Model-Based RL; MuJoCo; Isaac Gym/Sim; Open X-Embodiment; LIBERO; C++","参与机器人交互世界模型、多模态训练数据、真机部署和Sim-to-Real实验闭环；加分项覆盖主流仿真器、机器人数据集、分布式训练和三维视觉。","这是很完整的学习路线参照，但在读条件可能不匹配；可逐项复现其公开技术栈，用项目成果申请工程型岗位而非直接对标研究实习。","官方招聘详情页","https://www.shlab.org.cn/joinus/detail/7641101415998540083?jobFunction=&jobType=&keyword=&location=&mode=campus&subject=7527241317794023716","2026-05-18","2026-07-31"
"J011","P2 中长期","算法/研究能力门槛高于当前证据，应在 PyTorch、IL/RL、VLA 和真机评测完成后再评估。","国内·VLA/具身算法","中国大陆","上海人工智能实验室","灵巧手精细操作算法青年研究员","上海","灵巧操作与机器人学习","博士或优秀硕士优先","要求真实机器人算法部署、数据采集或实验经验；年限未注明","全职","Python; C++; Linux/Ubuntu; ROS 生态; ROS 2; 深度学习; PyTorch; VLA 族; 强化学习/RL; 模仿学习/IL; Diffusion/Flow Policy; 机器人仿真; Isaac; MuJoCo","WAM; 触觉/力觉","Python; PyTorch; C++; Linux; ROS/ROS2; VLA; WAM; Diffusion Policy; 强化学习; 模仿学习; MuJoCo; Isaac Lab/Gym; 触觉/力觉","研发双臂灵巧手强化/模仿学习、VLA/WAM操作策略、触力觉融合和Sim-to-Real，并主导真机部署、数据集与高水平科研产出。","研究与真机门槛都很高，当前不适合作为主投；可将安全控制、手眼标定、触力反馈和失败恢复纳入开源项目二期，为以后转向灵巧操作积累证据。","官方招聘详情页","https://www.shlab.org.cn/joinus/detail/7651885904365914377?mode=social","2026-06-16","2026-07-31"
